GPC_ID   | MEDIA   | DUDOSOS  | TOTAL    | % ERROR | CATEGORIA
1673     | 0.926   | 22       | 2881     |    0.8% | Bricolaje  >  Fontanería  >  Piezas para fontanería
218      | 0.903   | 22       | 925      |    2.4% | Arte y ocio  >  Hobbies y artes creativas  >  Coleccionables  >  Rocas y fósiles
5041     | 0.913   | 21       | 798      |    2.6% | Multimedia  >  Manuales de productos  >  Manuales de mantenimiento de vehículos
1262     | 0.920   | 21       | 5908     |    0.4% | Juegos y juguetes  >  Juguetes  >  Juguetes educativos
6807     | 0.892   | 21       | 346      |    6.1% | Bricolaje  >  Suministros eléctricos  >  Cuadros de distribución
499981   | 0.903   | 21       | 922      |    2.3% | Bricolaje  >  Accesorios de bricolaje  >  Ruedas
275      | 0.912   | 20       | 685      |    2.9% | Electrónica  >  Accesorios electrónicos  >  Electricidad
115      | 0.895   | 20       | 421      |    4.8% | Bricolaje  >  Materiales de construcción
523      | 0.926   | 19       | 2446     |    0.8% | Salud y belleza  >  Cuidado de la salud  >  Artículos ortopédicos y de soporte
4973     | 0.914   | 19       | 1461     |    1.3% | Casa y jardín  >  Productos del hogar  >  Productos de limpieza para el hogar  >  Productos para limpieza del hogar
1958     | 0.925   | 19       | 663      |    2.9% | Bricolaje  >  Herramientas  >  Alicates
1995     | 0.878   | 19       | 255      |    7.5% | Bricolaje  >  Consumibles para construcción  >  Soldadura y decapante
500101   | 0.903   | 19       | 344      |    5.5% | Bricolaje  >  Bombas  >  Bombas de agua
187      | 0.946   | 18       | 10979    |    0.2% | Ropa y accesorios  >  Calzado
503011   | 0.901   | 18       | 366      |    4.9% | Economía e industria  >  Manipulación de materiales  >  Plataformas de carga y palés
2700     | 0.904   | 18       | 1018     |    1.8% | Casa y jardín  >  Ropa de casa  >  Ropa de cama  >  Almohadas
3032     | 0.935   | 17       | 4786     |    0.4% | Ropa y accesorios  >  Bolsos, billeteras y estuches  >  Bolsos
274      | 0.711   | 17       | 59       |   28.8% | Electrónica  >  Comunicación  >  Videoconferencias
3780     | 0.907   | 17       | 580      |    2.9% | Casa y jardín  >  Jardín  >  Sistemas de riego  >  Accesorios de aspersión
3568     | 0.920   | 17       | 784      |    2.2% | Casa y jardín  >  Jardín  >  Sistemas de riego
499873   | 0.915   | 17       | 541      |    3.1% | Bricolaje  >  Ventilación y calefacción
124      | 0.910   | 17       | 590      |    2.9% | Bricolaje  >  Materiales de construcción  >  Ventanas
7136     | 0.941   | 17       | 2983     |    0.6% | Bricolaje  >  Materiales de construcción  >  Baldosas
5798     | 0.902   | 17       | 1130     |    1.5% | Alimentación, bebida y tabaco  >  Alimentos  >  Frutas y verduras  >  Verduras en lata y en conserva
8147     | 0.940   | 16       | 5520     |    0.3% | Vehículos y recambios  >  Piezas y accesorios para vehículos  >  Almacenamiento y carga de vehículos  >  Rampas de carga para vehículos motorizados
554      | 0.911   | 16       | 1255     |    1.3% | Mobiliario  >  Mobiliario para bebés y niños pequeños
6762     | 0.939   | 16       | 3925     |    0.4% | Casa y jardín  >  Plantas  >  Plantas de interior y exterior
7401     | 0.926   | 16       | 977      |    1.6% | Casa y jardín  >  Iluminación  >  Luces empotrables de jardín
980      | 0.945   | 15       | 5750     |    0.3% | Material de oficina  >  Artículos de oficina  >  Artículos de escritura y dibujo  >  Rotuladores y marcadores
2986     | 0.923   | 15       | 685      |    2.2% | Material de oficina  >  Artículos de oficina
499998   | 0.892   | 15       | 270      |    5.6% | Cámaras y ópticas  >  Accesorios ópticos y de cámara  >  Accesorios y piezas para cámaras  >  Estabilizadores y soportes para cámaras
2951     | 0.935   | 15       | 4330     |    0.3% | Casa y jardín  >  Cocina y comedor  >  Utensilios de mesa  >  Cristalería  >  Vasos
1217     | 0.924   | 15       | 498      |    3.0% | Bricolaje  >  Herramientas  >  Taladros
1439     | 0.925   | 15       | 488      |    3.1% | Bricolaje  >  Herramientas  >  Llaves
1361     | 0.934   | 15       | 1873     |    0.8% | Bricolaje  >  Consumibles para construcción  >  Consumibles para pintura  >  Pinturas
5506     | 0.944   | 14       | 7920     |    0.2% | Ropa y accesorios  >  Prendas de vestir  >  Ropa de abrigo  >  Cazadoras
1255     | 0.933   | 14       | 3342     |    0.4% | Juegos y juguetes  >  Juguetes  >  Muñecas, parques infantiles y figuras de juguete
356      | 0.955   | 14       | 12904    |    0.1% | Electrónica  >  Fax, escáner, copiadora e impresora  >  Accesorios para máquinas de fax, impresoras y fotocopiadoras  >  Consumibles para impresoras  >  Cartuchos de tinta y tóner
2999     | 0.919   | 14       | 844      |    1.7% | Cámaras y ópticas  >  Fotografía  >  Cuarto oscuro  >  Equipo de revelado y procesamiento  >  Pilas para revelado
2524     | 0.940   | 14       | 1456     |    1.0% | Casa y jardín  >  Iluminación  >  Lámparas Fijas  >  Apliques de techo
3006     | 0.941   | 14       | 2780     |    0.5% | Casa y jardín  >  Iluminación  >  Lámparas Fijas
212      | 0.936   | 13       | 12191    |    0.1% | Ropa y accesorios  >  Prendas de vestir  >  Camisas y tops
138      | 0.653   | 13       | 20       |   65.0% | Economía e industria  >  Venta al por menor
621      | 0.918   | 13       | 436      |    3.0% | Casa y jardín  >  Electrodomésticos  >  Calentadores de agua
1897     | 0.903   | 13       | 172      |    7.6% | Bricolaje  >  Ventilación y calefacción  >  Controles de climatización  >  Termostatos
1305     | 0.926   | 13       | 689      |    1.9% | Bricolaje  >  Herramientas  >  Sensores y herramientas de medida
1952     | 0.923   | 13       | 594      |    2.2% | Bricolaje  >  Fontanería  >  Filtración y distribución de agua  >  Descalcificadores
1540     | 0.941   | 13       | 1030     |    1.3% | Bricolaje  >  Accesorios para herramientas  >  Accesorios para taladros y destornilladores  >  Brocas de taladro y cabezales de destornillador
